,fips,year,MeanLifeExpectency,Estimated
1258,26131,2015,77.69968703,77.94472823298582
1259,26133,2015,77.93014791,77.26194253519978
1260,26135,2015,76.06913583,76.7029957891088
1261,26137,2015,78.06079075,77.53732320708843
1262,26139,2015,81.61582703,78.6127735390498
1263,26141,2015,78.54815913,78.37856117364366
1264,26143,2015,76.23724164,76.78089295511907
1265,26145,2015,77.32092681,78.03200755745462
1266,26147,2015,76.95943933,77.61358596629638
1267,26149,2015,76.86267434,77.53600449905169
1268,26151,2015,77.53534129,78.12294589652633
1269,26153,2015,78.11841595,78.78361032519412
1270,26155,2015,77.33694903,78.22552425174482
1271,26157,2015,77.50413012,77.85243893030834
1272,26159,2015,77.4736137,77.84272449822441
1273,26161,2015,81.06746511,79.51293982577857
1274,26163,2015,75.32483748,77.53666374077243
1275,26165,2015,77.34518761,77.31006019858641
1276,27001,2015,79.39716643,78.9838782827469
1277,27003,2015,81.10309149,81.00233067821534
1278,27005,2015,78.38449385,78.43179120058073
1279,27007,2015,77.7600049,78.48123478423034
1280,27009,2015,78.94873209,79.86129983994404
1281,27011,2015,79.2547913,79.92424929731281
1282,27013,2015,80.4875173,80.22590307339573
1283,27015,2015,80.58773525,79.8491831316171
1284,27017,2015,77.81471205,78.6557281185369
1285,27019,2015,82.78845617,81.64091899645071
1286,27021,2015,78.11291382,78.36675180191557
1287,27023,2015,79.6130814,79.79269144837436
1288,27025,2015,79.96897066,79.7906716045935
1289,27027,2015,79.89661167,79.80597052379346
1290,27029,2015,77.49760288,78.16788525872498
1291,27031,2015,81.96487035,78.21319284964112
1292,27033,2015,80.49854348,80.44542067920325
1293,27035,2015,79.72532465,79.08875087457041
1294,27037,2015,81.81132083,81.52425088823605
1295,27039,2015,80.97142113,80.78774410702059
1296,27041,2015,80.53147998,80.07506612560582
1297,27043,2015,79.57224465,79.88512794038216
1298,27045,2015,80.75531289,80.76737191660078
1299,27047,2015,80.08302324,80.02771430292027
1300,27049,2015,79.98181397,80.72126678389864
1301,27051,2015,79.69898445,79.80928607723419
1302,27053,2015,80.91635952,81.08191284185696
1303,27055,2015,81.53427663,80.47836789249799
1304,27057,2015,80.4065087,79.03164430778553
1305,27059,2015,79.72965813,79.95262621722914
1306,27061,2015,78.68542121,78.463924669134
1307,27063,2015,81.32245996,80.63257088187589
1308,27065,2015,79.53980885,79.15419634698435
1309,27067,2015,80.9196589,80.54001516634737
1310,27069,2015,78.69588668,79.04592809477661
1311,27071,2015,78.77525163,78.2301509205431
1312,27073,2015,81.21285527,80.30849395989263
1313,27075,2015,79.44759517,78.72385378548434
1314,27077,2015,78.7458673,78.52975094913691
1315,27079,2015,80.92100002,80.66181648576598
1316,27081,2015,80.24526847,80.29658767539446
1317,27083,2015,80.55846384,80.39355975895582
1318,27085,2015,80.78428324,80.73300715595026
1319,27087,2015,75.34488756,77.56705379565456
1320,27089,2015,81.96641939,80.19452441983972
1321,27091,2015,80.19156559,80.27760748283194
1322,27093,2015,80.38901171,80.50189982977633
1323,27095,2015,77.46575622,78.7160370799183
1324,27097,2015,79.72673008,79.26520293904167
1325,27099,2015,80.88434482,80.5702165140737
1326,27101,2015,81.01228041,80.5226908898321
1327,27103,2015,81.72597213,80.60078739855099
1328,27105,2015,81.22995911,80.66394251486217
1329,27107,2015,77.47944528,78.76016173317939
1330,27109,2015,82.18656087,80.64743357398748
1331,27111,2015,80.17290513,79.41158736803791
1332,27113,2015,79.34081453,78.98446890366219
1333,27115,2015,78.95229424,78.80701109032279
1334,27117,2015,79.96066661,80.3167594423535
1335,27119,2015,78.41179915,78.66886196451138
1336,27121,2015,80.45384085,80.03527316219505
1337,27123,2015,79.83117118,81.27510817415717
1338,27125,2015,79.88436816,79.306358404058
1339,27127,2015,79.42847552,79.73941825196468
1340,27129,2015,78.95948684,79.73678812011502
1341,27131,2015,80.71992018,80.82796253524252
1342,27133,2015,79.22659463,80.81831748667645
1343,27135,2015,79.63035476,78.7436826257623
1344,27137,2015,78.80618404,78.18262122732968
1345,27139,2015,81.96317108,80.86735875810754
1346,27141,2015,80.48927321,80.60369481021954
1347,27143,2015,80.64320102,80.86985802759628
1348,27145,2015,81.97813803,79.66376588470658
1349,27147,2015,81.44189017,80.66439523810722
1350,27149,2015,81.96330261,80.76193406848614
1351,27151,2015,80.13599688,80.04326500390141
1352,27153,2015,80.92772586,79.73114480216768
1353,27155,2015,79.31588017,79.43976835657695
1354,27157,2015,81.88640969,81.05615721954362
1355,27159,2015,77.02475477,78.41541442475149
1356,27161,2015,80.85911166,80.66912932732099
1357,27163,2015,81.77535701,81.25881465944475
1358,27165,2015,80.17071491,80.21696700966476
1359,27167,2015,78.46605427,79.38192533636955
1360,27169,2015,80.76625341,80.51606814786619
1361,27171,2015,80.88755952,80.7031483608066
1362,27173,2015,80.02972232,79.97894264574344
1363,28001,2015,73.44057171,73.54715110641803
1364,28003,2015,73.76923443,73.96687467211139
1365,28005,2015,75.77286277,74.56733919588142
1366,28007,2015,72.99850992,73.42777922624275
1367,28009,2015,73.86170834,74.46102762618702
1368,28011,2015,71.11994409,72.22884078396655
1369,28013,2015,74.24991365,74.41502936160208
1370,28015,2015,76.54767404,72.985276965315
1371,28017,2015,74.63900546,74.74043827671409
1372,28019,2015,75.58931673,74.41186758849311
1373,28021,2015,72.51802564,73.2533904952673
1374,28023,2015,73.89515346,74.03838394413081
1375,28025,2015,74.84814011,74.78204671071826
1376,28027,2015,70.55326797,71.77003665822264
1377,28029,2015,73.98151318,74.38479894505613
1378,28031,2015,72.70952047,73.25245407506091
1379,28033,2015,76.79676118,75.35462790273735
1380,28035,2015,73.86515685,73.58763317478537
1381,28037,2015,74.40207046,74.14636234812242
1382,28039,2015,72.57426548,74.04505592231205
1383,28041,2015,74.76595733,74.26407091604713
1384,28043,2015,71.53394473,72.5991597179934
1385,28045,2015,76.19935792,75.80343159724347
1386,28047,2015,74.74518691,75.53009157143696
1387,28049,2015,75.02549839,74.54130558440949
1388,28051,2015,71.37168494,72.4541759788851
1389,28053,2015,71.84461987,72.47202126403593
1390,28055,2015,73.91748887,73.0448406582385
1391,28057,2015,73.87913242,74.51641650604357
1392,28059,2015,75.4434426,75.71618909391532
1393,28061,2015,74.52358099,74.18847451646496
1394,28063,2015,72.70014682,73.35975487545102
1395,28065,2015,73.0475066,73.34518209081043
1396,28067,2015,74.42024975,73.73970141326161
1397,28069,2015,76.35579119,75.02834164765804
1398,28071,2015,77.1288321,75.45020597520661
1399,28073,2015,78.32096471,73.47858934470187
1400,28075,2015,74.45159226,74.10652776280438
1401,28077,2015,73.12346637,73.44165827725625
1402,28079,2015,73.85509729,73.8021730631405
1403,28081,2015,74.31793138,74.58582824264089
1404,28083,2015,71.57811672,72.15430463132179
1405,28085,2015,73.6677873,73.83835309494496
1406,28087,2015,75.36989916,74.7682016600966
1407,28089,2015,75.26129923,74.74684339700953
1408,28091,2015,72.31752626,73.135769225973
1409,28093,2015,73.60093604,74.88981572092617
1410,28095,2015,75.07096192,74.708623632364
1411,28097,2015,73.30000197,74.06661278286674
1412,28099,2015,71.79915794,73.34057134283722
1413,28101,2015,73.58645898,74.03607524654397
1414,28103,2015,74.51044743,74.65914773778833
1415,28105,2015,77.72634508,74.5417875959578
1416,28107,2015,72.65919223,73.37060513063939
1417,28109,2015,74.08353874,74.45058117130883
1418,28111,2015,73.92924281,73.80839335339255
1419,28113,2015,72.29488533,73.20173051404858
1420,28115,2015,76.2199757,74.82612525148431
1421,28117,2015,74.59371952,74.33888979824347
